Number,acc_sum,block,block_c,block_cond,con_img,correct,correct_response,datetime,endtime,jitter,project,response,response_time,row_sel,session_number,start_end,starttime,subject_id,task,task_vers,trial
2,1,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),88767.69999998808,2000,O,z,474,2,1,3261.5,85506.19999998808,9999,NTS,C,1
9,2,prac,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),91600.0,1500,O,m,514,8,1,2803.300000011921,88796.69999998808,9999,NTS,C,2
7,3,prac,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),94565.5,1700,O,m,452,6,1,2940.5,91625.0,9999,NTS,C,3
2,4,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),97881.19999998808,2000,O,z,500,2,1,3286.199999988079,94595.0,9999,NTS,C,4
1,5,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),100480.19999998808,1000,O,z,791,1,1,2570.300000011921,97909.89999997616,9999,NTS,C,5
6,6,prac,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),103862.39999997616,1900,O,m,676,5,1,3353.699999988079,100508.69999998808,9999,NTS,C,6
8,7,prac,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),106761.5,1600,O,m,498,7,1,2878.100000023842,103883.39999997616,9999,NTS,C,7
7,8,prac,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),109760.5,1700,O,m,491,6,1,2973.600000023842,106786.89999997616,9999,NTS,C,8
4,9,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),112726.09999996424,1400,O,z,760,4,1,2946.5,109779.59999996424,9999,NTS,C,9
3,10,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),115291.09999996424,1200,O,z,555,3,1,2543.099999964237,112748.0,9999,NTS,C,10
4,11,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),118241.19999998808,1400,O,z,749,4,1,2941.199999988079,115300.0,9999,NTS,C,11
1,12,prac,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),120790.09999996424,1000,O,z,743,1,1,2524.599999964237,118265.5,9999,NTS,C,12
7,1,prac,1,B,triangle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),177121.0,2000,O,z,849,6,1,3639.800000011921,173481.19999998808,9999,NTS,C,1
3,2,prac,1,B,triangle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),180137.19999998808,1600,O,z,616,3,1,3000.699999988079,177136.5,9999,NTS,C,2
3,3,prac,1,B,triangle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),183702.59999996424,1600,O,z,1160,3,1,3540.199999988079,180162.39999997616,9999,NTS,C,3
4,4,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),186818.30000001192,1500,O,m,807,4,1,3090.600000023842,183727.69999998808,9999,NTS,C,4
1,5,prac,1,B,triangle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),190317.09999996424,1900,O,z,787,1,1,3476.899999976158,186840.19999998808,9999,NTS,C,5
7,6,prac,1,B,triangle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),194299.19999998808,2000,O,z,1172,6,1,3957.0,190342.19999998808,9999,NTS,C,6
9,6,prac,1,B,triangle.png,0,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),197114.69999998808,1400,O,m,606,8,1,2789.300000011921,194325.39999997616,9999,NTS,C,7
8,7,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),199697.39999997616,1200,O,m,574,7,1,2557.599999964237,197139.80000001192,9999,NTS,C,8
2,8,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),203146.30000001192,1700,O,m,940,2,1,3423.300000011921,199723.0,9999,NTS,C,9
6,9,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),205695.5,1000,O,m,734,5,1,2523.800000011921,203171.69999998808,9999,NTS,C,10
6,10,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),208011.30000001192,1000,O,m,506,5,1,2290.2000000476837,205721.09999996424,9999,NTS,C,11
4,11,prac,1,B,triangle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),210960.30000001192,1500,O,m,642,4,1,2923.5,208036.80000001192,9999,NTS,C,12
7,1,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),241600.19999998808,1700,O,m,792,6,1,2511.0,239089.19999998808,9999,NTS,C,1
9,2,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),244182.69999998808,1500,O,m,1043,8,1,2564.100000023842,241618.59999996424,9999,NTS,C,2
3,3,test,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),246431.80000001192,1200,O,z,1009,3,1,2231.2000000476837,244200.59999996424,9999,NTS,C,3
7,4,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),249047.59999996424,1700,O,m,867,6,1,2598.099999964237,246449.5,9999,NTS,C,4
6,5,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),252096.59999996424,1900,O,m,1102,5,1,3031.599999964237,249065.0,9999,NTS,C,5
2,6,test,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),255328.89999997616,2000,O,z,1183,2,1,3215.199999988079,252113.69999998808,9999,NTS,C,6
6,7,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),258195.0,1900,O,m,931,5,1,2849.199999988079,255345.80000001192,9999,NTS,C,7
1,8,test,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),259827.19999998808,1000,O,z,597,1,1,1617.0,258210.19999998808,9999,NTS,C,8
8,9,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),262243.1999999881,1600,O,m,772,7,1,2398.899999976158,259844.30000001192,9999,NTS,C,9
9,10,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),264359.1999999881,1500,O,m,569,8,1,2098.800000011921,262260.39999997616,9999,NTS,C,10
3,11,test,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),266441.89999997616,1200,O,z,832,3,1,2064.699999988079,264377.1999999881,9999,NTS,C,11
2,12,test,1,A,circle.png,1,z,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),269474.1999999881,2000,O,z,990,2,1,3013.899999976158,266460.3000000119,9999,NTS,C,12
6,13,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),271923.1999999881,1900,O,m,512,5,1,2430.800000011921,269492.39999997616,9999,NTS,C,13
8,14,test,1,A,circle.png,1,m,Wed Aug 28 2024 12:18:04 GMT-0500 (Central Daylight Time),274139.6999999881,1600,O,m,581,7,1,2197.600000023842,271942.09999996424,9999,NTS,C,14
